Metric,Mean,Std.
Micro - Precision,0.6774193548387096,
Micro - Recall,0.7777777777777778,
Micro - F1,0.7241379310344828,
Micro - FPavg,1.0,
Micro - FPcmb,0.37037037037037035,
Micro - TP,21.0,
Micro - FP,10.0,
Micro - FN,6.0,
Micro - n_true_cmb,27.0,
Micro - n_pred_cmb,31.0,
Macro - Precision,0.7722222222222221,0.3871244242686321
Macro - Recall,0.875,0.22652092264305682
Macro - F1,0.8833333333333332,0.1932503014547343
Macro - FPavg,0.8333333333333334,1.4034589305344738
Macro - FPcmb,0.08333333333333333,0.1800205749557739
